"batch_id","last_chng_mn_usid","last_chng_dt","load_table","stat_code","item_code","data_cycle"
BAR60011,bar60000,2025-10-17 03:04:08.742,BTAPDT,"35","1408",D
BAR60012,bar60000,2025-10-17 03:04:08.742,BTAPDT,"36","1409",D
BAR60013,bar60000,2025-10-17 03:04:08.742,BTAPDT,"37","1410",D
BAR60014,bar60000,2025-10-17 03:04:08.742,BTAPDT,"38","1411",D
BAR60015,bar60000,2025-10-17 03:04:08.742,BTAPDT,"39","1412",D
BAR60016,bar60000,2025-10-17 03:04:08.742,BTAPDT,"40","1413",D
BAR60017,bar60000,2025-10-17 03:04:08.742,BTAPDT,"41","1414",D
BAR60018,bar60000,2025-10-17 03:04:08.742,BTAPDT,"42","1415",D
BAR60019,bar60000,2025-10-17 03:04:08.742,BTAPDT,"43","1416",D
BAR60020,bar60000,2025-10-17 03:04:08.742,BTAPDT,"44","1417",D
BAR60021,bar60000,2025-10-17 03:04:08.742,BTAPDT,"45","1418",D
BAR60022,bar60000,2025-10-17 03:04:08.742,BTAPDT,"46","1419",D
BAR60023,bar60000,2025-10-17 03:04:08.742,BTAPDT,"47","1420",D
BAR60024,bar60000,2025-10-17 03:04:08.742,BTAPDT,"48","1421",D
BAR60025,bar60000,2025-10-17 03:04:08.742,BTAPDT,"49","1422",D
BAR60026,bar60000,2025-10-17 03:04:08.742,BTAPDT,"50","1423",D
BAR60027,bar60000,2025-10-17 03:04:08.742,BTAPDT,"51","1424",D
BAR60028,bar60000,2025-10-17 03:04:08.742,BTAPDT,"52","1425",D
BAR60029,bar60000,2025-10-17 03:04:08.742,BTAPDT,"53","1426",D
BAR60030,bar60000,2025-10-17 03:04:08.742,BTAPDT,"54","1427",D
BAR60031,bar60000,2025-10-17 03:04:08.742,BTAPDT,"55","1428",D
BAR60032,bar60000,2025-10-17 03:04:08.742,BTAPDT,"56","1429",D
BAR60033,bar60000,2025-10-17 03:04:08.742,BTAPDT,"57","1430",D
BAR60034,bar60000,2025-10-17 03:04:08.742,BTAPDT,"58","1431",D
BAR60035,bar60000,2025-10-17 03:04:08.742,BTAPDT,"59","1432",D
BAR60036,bar60000,2025-10-17 03:04:08.742,BTAPDT,"60","1433",D
BAR60037,bar60000,2025-10-17 03:04:08.742,BTAPDT,"61","1434",D
BAR60038,bar60000,2025-10-17 03:04:08.742,BTAPDT,"62","1435",D
BAR60039,bar60000,2025-10-17 03:04:08.742,BTAPDT,"63","1436",D
BAR60040,bar60000,2025-10-17 03:04:08.742,BTAPDT,"64","1437",D
BAR60041,bar60000,2025-10-17 03:04:08.742,BTAPDT,"65","1438",D
BAR60042,bar60000,2025-10-17 03:04:08.742,BTAPDT,"66","1439",D
BAR60043,bar60000,2025-10-17 03:04:08.742,BTAPDT,"67","1440",D
BAR60044,bar60000,2025-10-17 03:04:08.742,BTAPDT,"68","1441",D
BAR60045,bar60000,2025-10-17 03:04:08.742,BTAPDT,"69","1442",D
BAR60046,bar60000,2025-10-17 03:04:08.742,BTAPDT,"70","1443",D
BAR60047,bar60000,2025-10-17 03:04:08.742,BTAPDT,"71","1444",D
BAR60048,bar60000,2025-10-17 03:04:08.742,BTAPDT,"72","1445",D
BAR60049,bar60000,2025-10-17 03:04:08.742,BTAPDT,"73","1446",D
BAR60050,bar60000,2025-10-17 03:04:08.742,BTAPDT,"74","1447",D
BAR60051,bar60000,2025-10-17 03:04:08.742,BTAPDT,"75","1448",D
BAR60052,bar60000,2025-10-17 03:04:08.742,BTAPDT,"76","1449",D
BAR60053,bar60000,2025-10-17 03:04:08.742,BTAPDT,"77","1450",D
BAR60054,bar60000,2025-10-17 03:04:08.742,BTAPDT,"78","1451",D
BAR60055,bar60000,2025-10-17 03:04:08.742,BTAPDT,"79","1452",D
BAR60056,bar60000,2025-10-17 03:04:08.742,BTAPDT,"80","1453",D
BAR60057,bar60000,2025-10-17 03:04:08.742,BTAPDT,"81","1454",D
BAR60058,bar60000,2025-10-17 03:04:08.742,BTAPDT,"82","1455",D
BAR60059,bar60000,2025-10-17 03:04:08.742,BTAPDT,"83","1456",D
BAR60060,bar60000,2025-10-17 03:04:08.742,BTAPDT,"84","1457",D
BAR60061,bar60000,2025-10-17 03:04:08.742,BTAPDT,"85","1458",D
BAR60062,bar60000,2025-10-17 03:04:08.742,BTAPDT,"86","1459",D
BAR60063,bar60000,2025-10-17 03:04:08.742,BTAPDT,"87","1460",D
BAR60064,bar60000,2025-10-17 03:04:08.742,BTAPDT,"88","1461",D
BAR60065,bar60000,2025-10-17 03:04:08.742,BTAPDT,"89","1462",D
BAR60066,bar60000,2025-10-17 03:04:08.742,BTAPDT,"90","1463",D
BAR60067,bar60000,2025-10-17 03:04:08.742,BTAPDT,"91","1464",D
BAR60068,bar60000,2025-10-17 03:04:08.742,BTAPDT,"92","1465",D
BAR60069,bar60000,2025-10-17 03:04:08.742,BTAPDT,"93","1466",D
BAR60070,bar60000,2025-10-17 03:04:08.742,BTAPDT,"94","1467",D
BAR60071,bar60000,2025-10-17 03:04:08.742,BTAPDT,"95","1468",D
BAR60072,bar60000,2025-10-17 03:04:08.742,BTAPDT,"96","1469",D
BAR60073,bar60000,2025-10-17 03:04:08.742,BTAPDT,"97","1470",D
BAR60074,bar60000,2025-10-17 03:04:08.742,BTAPDT,"98","1471",D
BAR60075,bar60000,2025-10-17 03:04:08.742,BTAPDT,"99","1472",D
BAR60076,bar60000,2025-10-17 03:04:08.742,BTAPDT,"100","1473",D
BAR60077,bar60000,2025-10-17 03:04:08.742,BTAPDT,"101","1474",D
BAR60078,bar60000,2025-10-17 03:04:08.742,BTAPDT,"102","1475",D
BAR60079,bar60000,2025-10-17 03:04:08.742,BTAPDT,"103","1476",D
BAR60080,bar60000,2025-10-17 03:04:08.742,BTAPDT,"104","1477",D
BAR60081,bar60000,2025-10-17 03:04:08.742,BTAPDT,"105","1478",D
BAR60082,bar60000,2025-10-17 03:04:08.742,BTAPDT,"106","1479",D
BAR60083,bar60000,2025-10-17 03:04:08.742,BTAPDT,"107","1480",D
BAR60084,bar60000,2025-10-17 03:04:08.742,BTAPDT,"108","1481",D
BAR60085,bar60000,2025-10-17 03:04:08.742,BTAPDT,"109","1482",D
BAR60086,bar60000,2025-10-17 03:04:08.742,BTAPDT,"110","1483",D
BAR60087,bar60000,2025-10-17 03:04:08.742,BTAPDT,"111","1484",D
BAR60088,bar60000,2025-10-17 03:04:08.742,BTAPDT,"112","1485",D
BAR60089,bar60000,2025-10-17 03:04:08.742,BTAPDT,"113","1486",D
BAR60090,bar60000,2025-10-17 03:04:08.742,BTAPDT,"114","1487",D
BAR60091,bar60000,2025-10-17 03:04:08.742,BTAPDT,"115","1488",D
BAR60092,bar60000,2025-10-17 03:04:08.742,BTAPDT,"116","1489",D
BAR60093,bar60000,2025-10-17 03:04:08.742,BTAPDT,"117","1490",D
BAR60094,bar60000,2025-10-17 03:04:08.742,BTAPDT,"118","1491",D
BAR60095,bar60000,2025-10-17 03:04:08.742,BTAPDT,"119","1492",D
BAR60096,bar60000,2025-10-17 03:04:08.742,BTAPDT,"120","1493",D
BAR60097,bar60000,2025-10-17 03:04:08.742,BTAPDT,"121","1494",D
BAR60098,bar60000,2025-10-17 03:04:08.742,BTAPDT,"122","1495",D
BAR60099,bar60000,2025-10-17 03:04:08.742,BTAPDT,"123","1496",D
BAR60100,bar60000,2025-10-17 03:04:08.742,BTAPDT,"124","1497",D
BAR60101,bar60000,2025-10-17 03:04:08.742,BTAPDT,"125","1498",D
BAR60102,bar60000,2025-10-17 03:04:08.742,BTAPDT,"126","1499",D
BAR60103,bar60000,2025-10-17 03:04:08.742,BTAPDT,"127","1500",D
BAR60104,bar60000,2025-10-17 03:04:08.742,BTAPDT,"128","1501",D
BAR60105,bar60000,2025-10-17 03:04:08.742,BTAPDT,"129","1502",D
BAR60106,bar60000,2025-10-17 03:04:08.742,BTAPDT,"130","1503",D
BAR60107,bar60000,2025-10-17 03:04:08.742,BTAPDT,"131","1504",D
